# beads, average energy / hw, standard deviation
4.00, 0.256043, 0.000252
8.00, 0.381810, 0.000166
12.00, 0.414750, 0.000197
16.00, 0.427518, 0.000232
20.00, 0.433685, 0.000273
24.00, 0.436477, 0.000287
32.00, 0.440311, 0.000371
48.00, 0.442644, 0.000469
64.00, 0.444288, 0.000570
72.00, 0.443581, 0.000535
96.00, 0.443923, 0.000676
