# beads, average energy / hw, standard deviation
4.00, 0.338995, 0.000094
8.00, 0.404256, 0.000125
12.00, 0.424007, 0.000181
16.00, 0.432696, 0.000230
20.00, 0.436652, 0.000271
24.00, 0.438899, 0.000300
32.00, 0.440958, 0.000362
48.00, 0.443041, 0.000450
64.00, 0.444267, 0.000516
72.00, 0.443938, 0.000585
96.00, 0.444546, 0.000597
