# beads, average energy / hw, standard deviation
4.00, 0.090675, 0.000317
8.00, 0.376180, 0.000201
12.00, 0.414266, 0.000196
16.00, 0.427125, 0.000221
20.00, 0.433429, 0.000297
24.00, 0.437152, 0.000316
32.00, 0.440089, 0.000343
48.00, 0.442759, 0.000478
64.00, 0.444104, 0.000504
72.00, 0.443535, 0.000530
