# beads, average energy / hw, standard deviation
4.00, 0.347089, 0.000077
8.00, 0.431039, 0.000118
12.00, 0.456590, 0.000185
16.00, 0.467504, 0.000237
20.00, 0.472850, 0.000222
24.00, 0.475871, 0.000299
32.00, 0.479239, 0.000344
48.00, 0.480932, 0.000481
64.00, 0.482410, 0.000581
72.00, 0.482406, 0.000549
96.00, 0.483771, 0.000569
